;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_on_title;Enable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
gtfo_off_title;Disable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_off_desc;Your decision list will now be uncluttered!;;;;;;;;;;;;x,,
gtfo_disabled_title;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_disabled_desc;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
gtfo_AAC_title;Grant Aachen Independence;;;;;;;;;;;;x,,
gtfo_AAC_desc;We've had a good run, but it's time to end our rulership of Aachen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABB_title;Grant Dongola Independence;;;;;;;;;;;;x,,
gtfo_ABB_desc;We've had a good run, but it's time to end our rulership of Dongola: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABE_title;Grant Abenaki Independence;;;;;;;;;;;;x,,
gtfo_ABE_desc;We've had a good run, but it's time to end our rulership of Abenaki: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABI_title;Grant Abihka Independence;;;;;;;;;;;;x,,
gtfo_ABI_desc;We've had a good run, but it's time to end our rulership of Abihka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ABU_title;Grant Sharjah Independence;;;;;;;;;;;;x,,
gtfo_ABU_desc;We've had a good run, but it's time to end our rulership of Sharjah: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ACO_title;Grant Acoma Independence;;;;;;;;;;;;x,,
gtfo_ACO_desc;We've had a good run, but it's time to end our rulership of Acoma: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADA_title;Grant Adal Independence;;;;;;;;;;;;x,,
gtfo_ADA_desc;We've had a good run, but it's time to end our rulership of Adal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADE_title;Grant Aden Independence;;;;;;;;;;;;x,,
gtfo_ADE_desc;We've had a good run, but it's time to end our rulership of Aden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AFG_title;Grant Afghanistan Independence;;;;;;;;;;;;x,,
