;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_napoleonic_thought;Standing Army;;;;;;;;;;;;;
strategic_mobility;Late Medieval Warfare;;;;;;;;;;;;;
point_defense_system;Early Modern Warfare;;;;;;;;;;;;;
deep_defense_system;Strict Military Doctrine;;;;;;;;;;;;;
infiltration;Artillery Revolution;;;;;;;;;;;;;
modern_army_doctrine;Advanced Forts;;;;;;;;;;;;;
army_doctrine_7;Early Military Revolution;;;;;;;;;;;;;
army_doctrine_8;Bastion Forts;;;;;;;;;;;;;
army_doctrine_9;Army Direct Command;;;;;;;;;;;;;
army_doctrine_10;Military Revolution;;;;;;;;;;;;;
army_doctrine_11;Professional Armies;;;;;;;;;;;;;
army_doctrine_12;Prussian Doctrine;;;;;;;;;;;;;
flintlock_rifles;Medieval Weaponry;;;;;;;;;;;;;
muzzle_loaded_rifles;Standardized Pikes;;;;;;;;;;;;;
breech_loaded_rifles;Arquebuses;;;;;;;;;;;;;
machine_guns;Pike and Shot;;;;;;;;;;;;;
bolt_action_rifles;Matchlock Muskets;;;;;;;;;;;;;
modern_divisional_structure;Early Flintlock Muskets;;;;;;;;;;;;;
light_armament_7;Cavalary Revolution;;;;;;;;;;;;;
light_armament_8;Plug Bayonets;;;;;;;;;;;;;
light_armament_9;Dragoons;;;;;;;;;;;;;
light_armament_10;Professional Armies;;;;;;;;;;;;;
light_armament_11;Flintlock Muskets;;;;;;;;;;;;;
light_armament_12;Socket Bayonets;;;;;;;;;;;;;
bronze_muzzle_loaded_artillery;Early Bombards;;;;;;;;;;;;;
iron_muzzle_loaded_artillery;Smoothbore Cannons;;;;;;;;;;;;;
iron_breech_loaded_artillery;Trunnions;;;;;;;;;;;;;
steel_breech_loaded_artillery;Culverins;;;;;;;;;;;;;
indirect_artillery_fire;Field Artillery;;;;;;;;;;;;;
heavy_armament_dunno;Artillery Revolution;;;;;;;;;;;;;
heavy_armament_7;Demi-Culverins;;;;;;;;;;;;;
heavy_armament_8;Round Shot;;;;;;;;;;;;;
heavy_armament_9;Muzzle-Loaded Artillery;;;;;;;;;;;;;
heavy_armament_10;Horse Artillery;;;;;;;;;;;;;
heavy_armament_11;Grape Shot;;;;;;;;;;;;;
heavy_armament_12;Early Mortars;;;;;;;;;;;;;
military_staff_system;Unit Commander;;;;;;;;;;;;;
military_plans;Military Engineering;;;;;;;;;;;;;
military_statistics;Military Intelligence;;;;;;;;;;;;;
military_logistics;Military Logistics;;;;;;;;;;;;;
military_directionism;Military Staff System;;;;;;;;;;;;;
aeronautics;Military Science;;;;;;;;;;;;;
military_science_7;Military Statistics;;;;;;;;;;;;;
military_science_8;General Staff;;;;;;;;;;;;;
military_science_9;Grand Tactics 1;;;;;;;;;;;;;
military_science_10;Grand Tactics 2;;;;;;;;;;;;;
military_science_11;Grand Tactics 3;;;;;;;;;;;;;
military_science_12;Grand Tactics 4;;;;;;;;;;;;;
army_command_principle;Unity Of Command;;;;;;;;;;;;;
